system:index,station_ID,statistic
2_2,-112.625 32.375_skew,"[3.3310982171593664, 4.508423793977864, 5.027298546123176, 5.08891466935069, 7.982541101062142, 7.940169804477595, 5.654133122311076, 7.574526681450683, 5.512152136213723, 4.737455148856727, 6.5826958944045675, 4.66074205393975]"
2_3,-112.625 32.375_pWD,"[0.23036649214659685, 0.31141868512110726, 0.2661064425770308, 0.2650273224043716, 0.22413793103448276, 0.20051413881748073, 0.38650306748466257, 0.5032679738562091, 0.36363636363636365, 0.24444444444444444, 0.24929178470254956, 0.30383480825958703]"
2_4,-112.625 32.375_pWW,"[0.6302521008403361, 0.6739130434782609, 0.6349809885931559, 0.5854700854700855, 0.5747663551401869, 0.6303317535545023, 0.862144420131291, 0.8329764453961456, 0.7319884726224783, 0.6615384615384615, 0.6437246963562753, 0.6370106761565836]"
3_0,-112.375 32.375_mean,"[0.0015431456685978538, 0.0013249298471466927, 0.0010483363515985528, 4.0722769583285094E-4, 2.8728050264445216E-4, 5.057619387342919E-4, 0.0016598143478537479, 0.0015514819760515232, 0.0013310562271996328, 9.17278646745465E-4, 0.0010075574674507375, 0.0011983776445655774]"
3_1,-112.375 32.375_stdDev,"[0.0034905234691362014, 0.0035581713409256373, 0.0036901111928360625, 0.0014481774194467555, 0.0015537431977848519, 0.002252636474674417, 0.0041004953864918385, 0.004169453346284545, 0.0038919350352003717, 0.0026823687144385258, 0.0034564423468492205, 0.0030156932665699283]"
3_2,-112.375 32.375_skew,"[3.378939621059346, 4.6422011215961545, 5.257264255287809, 5.161601849224541, 8.347985652342185, 8.087615506336448, 5.688472288555077, 7.870511805960841, 5.495487314146432, 4.448684402857633, 5.505404989494824, 3.878201495147056]"
3_3,-112.375 32.375_pWD,"[0.22933333333333333, 0.31690140845070425, 0.2873900293255132, 0.26912181303116145, 0.23, 0.21372031662269128, 0.4453125, 0.528, 0.36403508771929827, 0.2608695652173913, 0.2622478386167147, 0.3183183183183183]"
3_4,-112.375 32.375_pWW,"[0.6489795918367347, 0.6797153024911032, 0.6451612903225806, 0.6153846153846154, 0.5818181818181818, 0.6334841628959276, 0.8841463414634146, 0.8666666666666667, 0.7741935483870968, 0.6727272727272727, 0.6403162055335968, 0.6341463414634146]"
4_0,-112.125 32.375_mean,"[0.0016055221643194138, 0.0012825321728633487, 9.596744619987228E-4, 3.839306239234774E-4, 2.618089466937271E-4, 5.683620559043049E-4, 0.0016238973161742732, 0.001497644253578953, 0.0013093891254854651, 8.756395395506512E-4, 0.001015993770211935, 0.0012370421778397872]"
4_1,-112.125 32.375_stdDev,"[0.003610459741930809, 0.003294210370293315, 0.003365769737051589, 0.001397147176117533, 0.0014198839247447053, 0.0027308651451558716, 0.003917638913919537, 0.004094258647179941, 0.004108458578609869, 0.0025421245543036358, 0.0033106153622737737, 0.0029175771313624897]"
4_2,-112.125 32.375_skew,"[3.39283661185609, 4.322222964812005, 5.301059215864757, 6.14128071968366, 9.038906472397088, 7.855467375096209, 4.9241566167586805, 7.303405512952158, 6.168859926647807, 4.904516429888652, 4.885144986456186, 3.330394479428777]"
4_3,-112.125 32.375_pWD,"[0.23180592991913745, 0.3191489361702128, 0.2819767441860465, 0.2747875354107649, 0.22358722358722358, 0.20887728459530025, 0.4580152671755725, 0.49242424242424243, 0.35964912280701755, 0.263768115942029, 0.2571428571428571, 0.3181818181818182]"
4_4,-112.125 32.375_pWW,"[0.6546184738955824, 0.6819787985865724, 0.644927536231884, 0.6072874493927125, 0.5727699530516432, 0.631336405529954, 0.8773006134969326, 0.8668032786885246, 0.7768817204301075, 0.6690909090909091, 0.64, 0.6413793103448275]"
5_0,-111.875 32.375_mean,"[0.0015381194674217503, 0.0010432763605989436, 8.531613632237318E-4, 3.320097039716366E-4, 1.804581261239946E-4, 4.545492097806702E-4, 0.0012228667312361651, 0.0011509588257696643, 0.0010634859358625752, 8.136795610764773E-4, 9.644942303352497E-4, 0.0011192056604992973]"
5_1,-111.875 32.375_stdDev,"[0.0036463237381310154, 0.0026858017637858044, 0.0031839628302791204, 0.0013709559795792733, 0.001011477056088771, 0.0024603307416506295, 0.0032175021040227194, 0.0033087271686343977, 0.003791021656338418, 0.0030457324900312567, 0.0031770510963918413, 0.002615645139019996]"
5_2,-111.875 32.375_skew,"[3.412094478422453, 3.9929114755070385, 5.31487706371121, 7.680714093085297, 10.238931555620148, 8.404772856944765, 6.218531778343598, 6.139877093822884, 7.488885052454261, 9.133839997271636, 4.564510510560508, 3.228440959453329]"
5_3,-111.875 32.375_pWD,"[0.2275132275132275, 0.3041958041958042, 0.2737430167597765, 0.2650273224043716, 0.220873786407767, 0.19948849104859334, 0.4025974025974026, 0.5174825174825175, 0.3895582329317269, 0.24722222222222223, 0.2430939226519337, 0.3102409638554217]"
5_4,-111.875 32.375_pWW,"[0.6446280991735537, 0.6881720430107527, 0.6221374045801527, 0.5854700854700855, 0.5625, 0.6267942583732058, 0.8669527896995708, 0.8448637316561844, 0.7207977207977208, 0.6538461538461539, 0.6302521008403361, 0.6458333333333334]"
6_0,-111.625 32.375_mean,"[0.0016525196089289494, 0.0010458584107111433, 8.07188276885154E-4, 3.3564692518363396E-4, 1.3522666281546062E-4, 3.8733316181991507E-4, 0.0010749175000178107, 0.0010654795706241777, 0.0010071563376191598, 7.068129332819537E-4, 9.657003959308521E-4, 0.0012191067722892592]"
6_1,-111.625 32.375_stdDev,"[0.003939058111756442, 0.0026191099595503716, 0.0029266637141408766, 0.0014125352903442082, 7.5940225110521E-4, 0.0020030508542445953, 0.0024649954190077354, 0.00361776887591301, 0.003439041997663324, 0.001995923377178068, 0.0032505312144685927, 0.0027810503779871166]"
6_2,-111.625 32.375_skew,"[3.5296575652465507, 3.8381892025141426, 5.293257002548872, 7.865937580566189, 11.273566766032994, 8.53066927006158, 5.156478590669678, 9.592340362548457, 6.36903595367345, 4.877444134720395, 5.274992310383082, 3.31725164049158]"
6_3,-111.625 32.375_pWD,"[0.22955145118733508, 0.3146853146853147, 0.2727272727272727, 0.26944444444444443, 0.2181372549019608, 0.21409921671018275, 0.43243243243243246, 0.4806201550387597, 0.39166666666666666, 0.25925925925925924, 0.25069637883008355, 0.3106508875739645]"
6_4,-111.625 32.375_pWW,"[0.6390041493775933, 0.6774193548387096, 0.6380597014925373, 0.5958333333333333, 0.5801886792452831, 0.6221198156682027, 0.864406779661017, 0.8737270875763747, 0.7361111111111112, 0.6579925650557621, 0.6265560165975104, 0.6312056737588653]"
7_0,-111.375 32.375_mean,"[0.0019762892141399614, 0.001262274462163659, 8.495179310774626E-4, 4.1099704817366696E-4, 1.627965637135066E-4, 4.106473580405519E-4, 9.764995009043623E-4, 9.350882056856253E-4, 0.0012128956071781308, 8.15764383447391E-4, 0.0010690121830160182, 0.0015125398050387837]"
